row_id,video_id,channel,youtube_url,target_title
1,IUzAH3RQ7oY,@reloka-ua,https://www.youtube.com/watch?v=IUzAH3RQ7oY,[IUzAH3RQ7oY] @reloka-ua — RE-PAROLE без оплати 2026
2,Kehi2AXkzwM,@reloka-ua,https://www.youtube.com/watch?v=Kehi2AXkzwM,[Kehi2AXkzwM] @reloka-ua — I-912 Fee Waiver + I-131
3,xCBNIhJwxWM,@arvian_immigration,https://www.youtube.com/watch?v=xCBNIhJwxWM,[xCBNIhJwxWM] @arvian_immigration — RFE по re-parole
4,ofC15aB6S-k,@USImmigrationTalk,https://www.youtube.com/watch?v=ofC15aB6S-k,[ofC15aB6S-k] @USImmigrationTalk — Через сколько после биометрии
5,M54htc58D14,@immigraciya_in_usa,https://www.youtube.com/watch?v=M54htc58D14,[M54htc58D14] @immigraciya_in_usa — Что делать если отменят TPS/U4U
6,OQ5pakFwPBk,@TeachBK,https://www.youtube.com/watch?v=OQ5pakFwPBk,[OQ5pakFwPBk] @TeachBK — Закончилась форма I-94
